baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneName,gene
75.0767128006247,1.18935661078998,0.401665009149823,2.96106602192561,0.00306576212264363,0.0487865300001973,1110038F14Rik,1110038F14Rik
245.602939186095,1.14953113650916,0.340848130252465,3.37256107480393,0.00074472567717597,0.0191007574520384,1810055G02Rik,1810055G02Rik
355.920998065528,0.985361738343646,0.324488350960954,3.03666290461754,0.00239212809377051,0.0420391734539288,2010003K11Rik,2010003K11Rik
2007.08191853671,0.96219019138077,0.289957877059177,3.31837921128246,0.000905414725367518,0.0219354037158959,2200002D01Rik,2200002D01Rik
379.388016495738,0.664343624913418,0.292533723852397,2.27099842084745,0.0231470735445073,0.180935065056762,2610507B11Rik,2610507B11Rik
23.7647275786481,1.57569050791191,0.625598744095321,2.51869192958582,0.0117791667074874,0.118074572825491,4833438C02Rik,4833438C02Rik
570.191708006014,2.53524398889403,1.04311485006851,2.4304552741508,0.0150798671213472,0.138113304940504,5033421B08Rik,5033421B08Rik
37.5280940125624,2.14597149367566,0.604147097294102,3.55206787103206,0.000382216257547579,0.011937107744224,6430548M08Rik,6430548M08Rik
174.843896577934,1.66004322331868,0.373328607649202,4.44660063361269,8.72398079683413e-06,0.000606845391488871,AA467197,AA467197
265.644732292697,1.23163916308392,0.316059540501445,3.89685804494262,9.74486987269526e-05,0.00416173931028316,AA986860,AA986860
110.599913568988,1.80906999185305,0.452551597267852,3.997488911264,6.40179889311026e-05,0.00306152694981971,Abca1,Abca1
149.60745242039,1.24374600893326,0.373594687311783,3.32913194746608,0.000871171217191622,0.0214452925368726,Abcb10,Abcb10
2934.16347303927,1.59903294498756,0.333185555791379,4.79922648864399,1.59279591368824e-06,0.00015592015884824,Abhd2,Abhd2
87.4038712566296,1.1778488425825,0.39088897620608,3.01325674112009,0.00258460157472518,0.0437049938473787,Abi1,Abi1
264.511165658472,1.29965298901396,0.382343607182669,3.39917541342083,0.000675893525216864,0.017731583852975,Abr,Abr
3090.65852848906,0.793947537891399,0.338317617059566,2.34675198055563,0.0189378561117956,0.159743724229899,Ace,Ace
7197.98378727945,0.692888765733452,0.303124470468172,2.28582260172956,0.0222646388691175,0.176693097749556,Ace2,Ace2
76.5055135143827,1.02521320970067,0.395960603267714,2.58917983567043,0.00962048377621809,0.103437098399572,Acox2,Acox2
4128.62021307608,1.08141997992434,0.256927631752632,4.20904506279622,2.56452243455505e-05,0.00142711787842936,Acsl5,Acsl5
32076.1425534126,0.815081227353979,0.286951701663708,2.84048229241453,0.00450453737189777,0.0638281823283416,Actb,Actb
7538.86204085732,1.52787077492463,0.350738636301753,4.35615189428447,1.32368936919404e-05,0.000841424670183831,Actg1,Actg1
4800.00802890368,0.691843611570383,0.281425497997945,2.45835440104804,0.0139575360051167,0.131040997544971,Actn4,Actn4
4178.27044855199,1.86894457332162,0.307511085288964,6.07764943356563,1.21957012745632e-09,3.2935567383247e-07,Ada,Ada
133.061644798927,1.00917430529688,0.42732632211902,2.36160108343573,0.0181962104865451,0.156190202877215,Adam10,Adam10
47.5721836356991,1.75918703132259,0.711244679818638,2.47339218308272,0.0133837181124644,0.127214595971685,Adm,Adm
196.053115727135,0.918386724948956,0.345107575950926,2.66116071899723,0.00778717769039698,0.0903942674503477,Agr2,Agr2
856.194624793924,0.829879598089144,0.284418201962439,2.91781465589442,0.00352493803347863,0.0543053372875852,Ahnak,Ahnak
575.711765619927,3.31519752897916,0.743925899303936,4.45635449993214,8.33651356630658e-06,0.000593378818339744,Akr1b7,Akr1b7
767.012957154837,1.60881658183355,0.383433305246924,4.19581856823185,2.71887833052797e-05,0.0014948946605334,Alas1,Alas1
388.135124550428,1.50405947961241,0.349188326005223,4.30730172689082,1.65258115265913e-05,0.00101160000958108,Aldh4a1,Aldh4a1
499.994749334585,0.91816284439889,0.325102410222735,2.8242265068716,0.00473948776487343,0.0657471425044281,Aldh9a1,Aldh9a1
11473.5763590222,0.695849861685546,0.254972701982083,2.72911514164542,0.00635045264065511,0.0793331376142792,Aldob,Aldob
79.0834082209018,3.25152917808003,0.517357571677177,6.28487791826295,3.28111428048847e-10,1.15873812782481e-07,Alpk1,Alpk1
11.7200143093653,2.3950058767041,1.08423249616708,2.20894124200371,0.0271787281054061,0.199964007583204,Amy2a4,Amy2a4
109.302144505656,1.58797202351674,0.579140726501929,2.7419450072321,0.00610765661300708,0.0773524179594911,Angptl4,Angptl4
20163.5917752523,1.06521737524044,0.252954520081312,4.21110235507167,2.54127563583203e-05,0.00142280444440303,Anpep,Anpep
1314.47232634036,0.811710570431234,0.330967763557396,2.4525366510218,0.0141852927717996,0.13236394697217,Anxa2,Anxa2
35.0711908827409,2.38895786606796,0.756348240325455,3.15854224112427,0.00158560328874705,0.0321376469926799,Ap1m2,Ap1m2
71.3081012237643,1.57938386399851,0.420578026970941,3.75526956406506,0.00017315501180656,0.00654283670126682,Apaf1,Apaf1
79.4934099751333,1.67739714845224,0.459937254399521,3.64701300537656,0.000265306500815239,0.00908971750181165,Apba3,Apba3
73.1942956568806,1.06520447573237,0.436272942385376,2.44160105347867,0.014622295349986,0.134665913644505,Aplp1,Aplp1
600.085602400934,0.98590856715451,0.336591331023182,2.92909673032134,0.00339948612484981,0.0531756074929659,Aplp2,Aplp2
37336.8948857861,1.25385082424789,0.254954895739207,4.91793193699034,8.74633104606598e-07,9.67576044156359e-05,Apoa1,Apoa1
3024.57258846711,1.06174889339839,0.431544325390832,2.46034724807655,0.0138802644578042,0.130656763242234,Apob,Apob
