baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
570.191708006014,3.15143902092872,1.04280047211455,3.02209205423388,0.00251034194570447,0.0697020911085013,5033421B08Rik
70.4341221158328,1.21943372762492,0.437910439623713,2.78466466493184,0.0053583106384335,0.110630057930335,9030607L20Rik
8.33151949467098,3.15954847212817,1.18813750908468,2.65924478267017,0.00783160400498437,0.139010971088473,Abcc1
2934.16347303927,0.899300009041353,0.333350173326726,2.69776373615358,0.00698069647748905,0.128166090504059,Abhd2
7197.98378727945,0.766210475367447,0.303088983577907,2.52800503113798,0.0114712708119855,0.169918369457884,Ace2
4128.62021307608,0.77060082065491,0.256972569353932,2.99876684345072,0.00271074662943102,0.0723036715833911,Acsl5
4178.27044855199,1.03203755850416,0.307668513134389,3.35438146721685,0.000795426236623095,0.0342797446691411,Ada
133.061644798927,1.21827271430812,0.425227646994313,2.8649894307658,0.00417023160847323,0.095317831885701,Adam10
45.3435851398783,1.98788408396428,0.581373017926652,3.41929195657147,0.000627843224547128,0.0292272867125264,Adarb2
47.5721836356991,2.96151020512607,0.700596107997801,4.22712911379086,2.36691864507973e-05,0.00243324167794706,Adm
124.111004673411,1.18189858524744,0.4872153941649,2.4258235667476,0.0152736936059734,0.195345554521692,Aff1
127.057648533002,0.92173390443145,0.374214467680208,2.46311669921628,0.0137735077438343,0.185191754664715,Aggf1
22.3915185503066,3.54287411143992,0.674516764301439,5.25246265021905,1.5007890470228e-07,3.44448537327162e-05,Agtpbp1
856.194624793924,0.773542167981837,0.284280700625614,2.72105058936295,0.00650748018388425,0.125628488881267,Ahnak
41.6449774806028,1.38531277190144,0.523552013690749,2.64598881424552,0.00814525098326841,0.14278060737811,Aida
575.711765619927,2.16122988912922,0.744515226762912,2.90286862033173,0.00369761719470336,0.0883578307373545,Akr1b7
499.994749334585,1.11955789696142,0.324435672563709,3.45078544573909,0.000558957734434534,0.0274445466723105,Aldh9a1
11473.5763590222,0.64651929873631,0.254960273493773,2.53576484633047,0.0112202049387716,0.168632143437484,Aldob
79.0834082209018,3.93159062355534,0.511351166898654,7.68863137127553,1.48717265809596e-14,1.46769069627491e-11,Alpk1
8.91915966867759,4.10514105639384,1.16472128637912,3.52456944369576,0.000424171617275336,0.0224552279452358,Anxa10
3024.57258846711,1.23115467101017,0.431465463853544,2.85342576440388,0.00432506317083323,0.0976751680387945,Apob
228.266561238425,2.78131247515609,0.392104641714404,7.09329138006457,1.30959315022009e-12,8.97271951096767e-10,Areg
392.383860962282,0.947734571428001,0.392427010249215,2.41505948029962,0.0157326402968517,0.198920571099407,Arf4
42.9580679822216,1.63030001999296,0.599912165172932,2.71756452800553,0.00657643303218171,0.125628488881267,Arl14
155.093983748704,1.15927922441559,0.376785161604518,3.07676453998045,0.00209260527468489,0.0629586331021618,Arl4a
53.3656018054421,1.53566223324331,0.494237439396071,3.10713456900351,0.00188910383634114,0.0584437798145791,Ascc3
291.31900595165,0.939384229567797,0.343633294528125,2.73368222615842,0.00626304565602807,0.123619995158682,Ash1l
129.322047331582,1.24769842695627,0.416950366927727,2.9924387311369,0.00276758213224536,0.0732259197402936,Atf3
362.054359661373,1.04399345545738,0.320266890452264,3.25976080132137,0.00111506210840084,0.0429865154211247,Atp10b
29417.9130147439,0.995326311281956,0.244144806603093,4.07678674443427,4.56623358182684e-05,0.00402358564455795,Atp1a1
16033.2362651193,0.829938678915545,0.304410018335625,2.72638424797341,0.00640324073275921,0.125234579421448,Atp1b1
159.16729799419,0.969957735797404,0.378824191048367,2.56044296725909,0.0104538820555483,0.162471436230245,Atp7a
138.982969588989,2.12663941008653,0.419229294567247,5.07273570250327,3.9213696303265e-07,8.23404188972175e-05,Atp8a1
59.1374455672581,1.88041783494171,0.579616590452076,3.2442443261934,0.00117762685810151,0.0438566017456747,Axin2
31.8839936973251,4.33217305496035,0.761023316776353,5.69256284197856,1.25146514401041e-08,3.33802959628074e-06,B3galt5
430.478549876127,0.794630199977933,0.31925885248317,2.48898407607921,0.0128108703548638,0.178648042252958,B4galt6
174.448005187557,0.877449509230101,0.346233934294922,2.53426779502985,0.0112682581004878,0.169006746495007,Bach1
100.613542844927,1.67046399599854,0.401446184628772,4.16111563631688,3.16696665366516e-05,0.00303444601019626,Barx2
147.087881310928,1.28842397990297,0.432887030018678,2.97635154337467,0.00291700273686116,0.0761584656351395,BC005537
493.827367309357,0.964088638849382,0.342700291784031,2.81321219141812,0.00490492725001851,0.105003746269919,Birc6
248.849258609279,2.25825952895793,0.45840305540069,4.92636229700515,8.37746024969595e-07,0.000150867546464227,Bmp2
445.773810366366,1.03491364734183,0.336461163403911,3.07587846654222,0.00209883375120187,0.0629586331021618,Bpnt1
343.405270272242,0.909920633692751,0.366313666810158,2.48399313521741,0.0129918312490654,0.180079189040767,Brd1
19.8861179448548,1.68799164122055,0.625768519386616,2.69746973349688,0.00698686358204312,0.128166090504059,Btc
92.0575516202838,1.08691012014568,0.401708564217342,2.70571806768255,0.00681568827090323,0.127153171163599,Bzw2
10.2075042121448,3.71837035909865,1.26774941846074,2.93304836504155,0.00335651600134007,0.0832589887136112,C4b
3584.15985483691,1.1644127397346,0.410738578167002,2.83492421123676,0.00458365581965492,0.0998589388171621,Calr
802.512026094725,1.25286104489246,0.381905675557275,3.2805509974794,0.00103604532843974,0.0410631780978788,Canx
321.710348688121,1.22269211001833,0.307041085914891,3.9821775199077,6.82867438276111e-05,0.00554900106864784,Car4
39.4610864072377,2.14953325313542,0.590576388673302,3.63972094780869,0.000272933659654584,0.0170807237596541,Casp4
