baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
19.8581238907902,-0.675855629599887,0.818196510629344,-0.826030936113415,0.408786543068615,0.999991488497405
0,NA,NA,NA,NA,NA
1.02231452082798,0.747777073649515,2.89538297709241,0.258265341602735,0.796202132500197,0.999991488497405
0.719673203108466,-0.981048612333424,3.06910560039798,-0.319652934785368,0.749231441780311,0.999991488497405
0.274150791447284,0.00972732467677351,3.67350009937923,0.00264797180172046,0.997887226651008,0.999991488497405
1.6212568105572,0.799692235875591,2.27939710048872,0.350834979874342,0.725712153002227,0.999991488497405
3.40024834992195,1.80583485383793,1.82593120150988,0.98899391847002,0.32266611715448,0.999991488497405
19.5907909457355,-0.306555586601674,0.817902529636939,-0.374806991656759,0.707804014119634,0.999991488497405
0.0227304256499106,0.215548568840396,3.68503132613039,0.0584930085429534,0.953355931335943,0.999991488497405
10.6620544496536,-0.46719396906538,1.0997032348975,-0.424836405167915,0.670955936858207,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.215616675518078,0.292568878662864,3.67418143912687,0.0796283154520506,0.936532874242981,0.999991488497405
0.0340956384748658,0.314523961019291,3.68461300330964,0.0853614642125985,0.931974028406676,0.999991488497405
23.0276466400248,-0.940639308570392,0.794319455896238,-1.18420781662594,0.236330808680103,0.999991488497405
0.0113652128249553,0.102437375591046,3.68554530004382,0.0277943607394617,0.977826163704666,0.999991488497405
0.0113652128249553,0.102437375591046,3.68554530004382,0.0277943607394617,0.977826163704666,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.0589978147466141,0.278087504731431,3.68359135131198,0.0754935817276218,0.939822004005094,0.999991488497405
0.496236903867559,0.906615317496322,3.66020746447769,0.24769506272391,0.804370352231993,0.999991488497405
0,NA,NA,NA,NA,NA
49.5633883199409,-1.5603549713331,1.00904985304973,-1.54636063482604,0.122017495613143,0.999991488497405
0.53698807567669,1.9491598877537,3.41297068103911,0.571103613219514,0.567929409478069,0.999991488497405
13.1847042431865,-1.22506793169437,1.00316703581118,-1.2212003464645,0.222010173104599,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.137398527395954,0.595875568457368,3.67793338549184,0.162013692474119,0.871295071289608,0.999991488497405
0.176993444239842,0.654066049761326,3.67428900919144,0.178011595746862,0.858713869098607,0.999991488497405
0.283668148838952,0.282210358784815,3.67048454133532,0.0768864043988445,0.938713913247392,0.999991488497405
0,NA,NA,NA,NA,NA
0.154263018589932,0.525127774794199,3.67689586923396,0.142818234040336,0.886433736024322,0.999991488497405
1.30034958705589,0.746469714878765,2.44951166349838,0.304742257815038,0.760562462359328,0.999991488497405
0,NA,NA,NA,NA,NA
11.115618530504,-0.195932686880608,0.986827484091376,-0.198548064417777,0.84261628321454,0.999991488497405
0.0484644838584551,0.197791833324679,3.68390628444304,0.053690788541485,0.95718152189639,0.999991488497405
0,NA,NA,NA,NA,NA
8.70868458595305,0.66777824047685,1.16841813574533,0.571523344295643,0.567644940755813,0.999991488497405
11.6566411039252,-0.181776408128733,1.01760745688515,-0.178631167547792,0.858227319926326,0.999991488497405
0.0717028962566108,0.168075625324811,3.68308125923245,0.045634514553132,0.963601559182838,0.999991488497405
1.41244825761982,0.402918895427217,2.21554945153873,0.18185958121918,0.855692924994511,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.211597069462953,0.678530435702756,3.6718026718537,0.184794907663217,0.853389902167204,0.999991488497405
4.87200346689417,0.359240197677577,1.4526801605423,0.247294764143725,0.80468011058718,0.999991488497405
4.0366851768414,0.45199570544347,1.49703061960494,0.301928163341609,0.762706825820282,0.999991488497405
0.0113652128249553,0.102437375591046,3.68554530004382,0.0277943607394617,0.977826163704666,0.999991488497405
2.67203283805643,1.15317772428221,1.90889477424569,0.604107539001404,0.545772147583574,0.999991488497405
0,NA,NA,NA,NA,NA
3.98509245681657,1.30433206067044,1.6796970748292,0.776528149162295,0.437437206918964,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.97761907171879,-0.563868693758885,2.7503378821162,-0.205017971582832,0.83755808396244,0.999991488497405
0.411090092380189,0.986968889867757,3.66274550487765,0.269461497817257,0.787574567068301,0.999991488497405
1.47378712405802,1.0772711138403,2.35000486929422,0.458412290083397,0.646656263632517,0.999991488497405
0,NA,NA,NA,NA,NA
0.393810184814104,0.351099519421981,3.6655921798017,0.0957824826658635,0.923693330192873,0.999991488497405
0,NA,NA,NA,NA,NA
0.105150744354374,0.0443424754981731,3.6821074420583,0.01204268919252,0.990391556469572,0.999991488497405
0.73754382750324,1.90795472521643,2.99782845225077,0.636445599074869,0.524486028056982,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.245601664594159,1.18968655733031,3.66950783298553,0.324208752638735,0.745779996022887,0.999991488497405
4.27213593800811,0.980953566784794,1.60980575691246,0.609361447847113,NA,NA
0,NA,NA,NA,NA,NA
6.72141126647004,1.10766941560635,1.3039971152409,0.849441615061951,0.3956356050606,0.999991488497405
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA
0.730149460448212,1.16555924441259,3.0056868134492,0.38778466179417,0.698175397183084,0.999991488497405
0.0468007199848626,0.184568078879397,3.68395982787872,0.0501004591533979,0.960042333847872,0.999991488497405
